target_timestamp,zone_id,target,p10,p50,p90
2024-03-18 00:00:00,48,65.0,31.22265680783661,50.50664064505698,92.52114169678237
2024-03-18 01:00:00,48,45.0,17.65079444445239,39.44583488112192,59.27625064371084
2024-03-18 02:00:00,48,18.0,10.65881161160595,28.30853872029261,41.70015547888413
2024-03-18 03:00:00,48,22.0,6.4547732946917495,25.959022666762646,35.555285518391756
2024-03-18 04:00:00,48,46.0,4.493860907184798,17.726938136641223,30.30794929799679
2024-03-18 05:00:00,48,42.0,6.011707205787639,31.673334275172778,60.78776157984023
2024-03-18 06:00:00,48,66.0,30.95596197212208,65.47044337270344,93.68206200498814
2024-03-18 07:00:00,48,96.0,47.355432794874176,87.11437005818976,117.94400317550206
2024-03-18 08:00:00,48,109.0,82.74524895913814,128.15395402147303,149.49039566314698
2024-03-18 09:00:00,48,137.0,95.18943672645946,126.69312375660206,145.29674561060932
2024-03-18 10:00:00,48,114.0,103.94588358223244,116.76070625180552,136.93163426080739
2024-03-18 11:00:00,48,77.0,105.86254148467899,119.44232455648427,137.10113229923837
2024-03-18 12:00:00,48,95.0,103.36149560839124,114.75449475832227,125.3542429563461
2024-03-18 13:00:00,48,77.0,90.04014196741602,98.59472371832102,114.52103445836619
2024-03-18 14:00:00,48,96.0,94.71010053525289,101.41282610182218,125.18329113194291
2024-03-18 15:00:00,48,101.0,91.6979245516552,98.23563525925246,115.50717663639078
2024-03-18 16:00:00,48,120.0,88.5373855444204,106.44480500304725,125.7557157335349
2024-03-18 17:00:00,48,119.0,99.88718024955588,122.64603392619736,157.08669136777056
2024-03-18 18:00:00,48,127.0,110.24125064786527,137.766200842124,177.810319492342
2024-03-18 19:00:00,48,144.0,71.5371883360768,102.7518866308665,126.51859980880988
2024-03-18 20:00:00,48,131.0,95.03211548218329,131.72673597094402,160.93925934896606
2024-03-18 21:00:00,48,157.0,94.41819006882139,141.4449481142669,191.52701271623653
2024-03-18 22:00:00,48,121.0,98.12348916742499,149.9598460008843,201.00115406615237
2024-03-18 23:00:00,48,80.0,58.43497708493261,93.41268983008564,127.02898123960844
2024-03-19 00:00:00,48,56.0,40.007233622850066,68.00813447490813,108.23160902500186
2024-03-19 01:00:00,48,43.0,23.68640580718824,38.77294696425053,63.320639175183295
2024-03-19 02:00:00,48,10.0,13.277822629752414,26.15318675565426,36.620392087335695
2024-03-19 03:00:00,48,21.0,4.305216089485451,13.097194103518124,24.582579767577286
2024-03-19 04:00:00,48,19.0,7.148766008102824,15.484844048558678,25.27567058401558
2024-03-19 05:00:00,48,37.0,9.508680482922081,37.28658568076373,59.31934813509929
2024-03-19 06:00:00,48,60.0,31.232964740690242,87.94013034277121,112.18513059931904
2024-03-19 07:00:00,48,134.0,54.41519831266295,107.14606800482298,127.93384718840666
2024-03-19 08:00:00,48,140.0,85.25582807321081,133.35634343286114,165.33863384360754
2024-03-19 09:00:00,48,134.0,106.08560559165652,154.31760324651003,181.45369889236832
2024-03-19 10:00:00,48,95.0,103.53261534716617,126.38779613472654,157.90688222710892
2024-03-19 11:00:00,48,93.0,98.04445518201443,123.52668151528027,146.72052058144612
2024-03-19 12:00:00,48,93.0,77.17907857656337,96.95217355299583,112.97406456478534
2024-03-19 13:00:00,48,130.0,79.18877628145682,97.33958203494736,122.77037756479982
2024-03-19 14:00:00,48,106.0,78.01490015764611,97.27043367033914,122.42743126393177
2024-03-19 15:00:00,48,130.0,89.30179518350317,120.63264459454079,150.5808354810651
2024-03-19 16:00:00,48,100.0,90.71688853913552,117.51010565470993,154.8523337357282
2024-03-19 17:00:00,48,131.0,100.70914001477792,156.21070635692269,200.9031935789889
2024-03-19 18:00:00,48,157.0,104.27573826406915,151.74590694459238,196.72811476843145
2024-03-19 19:00:00,48,178.0,101.42655674923404,152.46732030954908,180.48658746700528
